report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-14,jinro,14,9774,54,5,
2025-09-14,kooksoondang,1,5,1,0,
2025-09-14,kyochon,4,3016,68,1,
2025-09-14,lotte choco pie,47,2183694,14937,32,
2025-09-14,lotte mart,63,71821,506,17,
2025-09-14,maxim coffee,2,1022,10,0,
2025-09-14,melona,23,11430,161,11,
2025-09-14,milkis,19,18459,417,49,
2025-09-14,neoguri,11,6285,81,6,
2025-09-14,nongshim,58,1812628,2701,115,
2025-09-14,orion choco pie,6,15131,122,3,
2025-09-14,otoki,7,14351,77,17,
2025-09-14,ottogi,3,15624,1081,8,
2025-09-14,pepero,38,188606,14287,346,
2025-09-14,pulmuone,1,1807,18,1,
2025-09-14,red baron,47,21246,606,71,
2025-09-14,samlip,2,3072,204,3,
2025-09-14,samyang,331,1694668,85657,1571,
2025-09-14,sempio,19,143977,9443,2882,
2025-09-14,shin ramen,79,1120308,31690,632,
2025-09-14,starkist,1,342,0,0,
2025-09-14,terra beer,1,1255,9,1,
2025-09-14,toomba,17,504043,25698,486,
2025-09-14,turtle chips,4,2552,12,2,
2025-09-15,beksul,1,863,1,2,
2025-09-15,bibigo,39,42405,3108,253,
2025-09-15,binggrae,5,331789,7461,64,
2025-09-15,bristol farms,1,454,8,0,
2025-09-15,buldak,1274,10389168,253614,6068,
2025-09-15,chapagetti,25,251262,7928,39,
2025-09-15,chilsung,1,12,1,0,
2025-09-15,daesang,14,79477,4464,104,
2025-09-15,dongwon tuna,1,7903,0,79,
2025-09-15,emart,62,51019,614,62,
2025-09-15,havmor,25,68716,1248,22,
2025-09-15,jin ramen,33,67452,2784,54,
2025-09-15,jinro,14,10042,54,5,
2025-09-15,jongga,2,342,12,8,
2025-09-15,kooksoondang,1,5,1,0,
2025-09-15,kyochon,4,3082,72,1,
2025-09-15,lotte choco pie,52,2255651,15828,32,
2025-09-15,lotte mart,72,76444,554,35,
2025-09-15,maxim coffee,3,1454,10,0,
2025-09-15,melona,29,14797,204,18,
2025-09-15,milkis,25,21155,436,64,
2025-09-15,neoguri,12,6300,82,7,
2025-09-15,nongshim,66,1963035,2863,118,
2025-09-15,orion choco pie,8,17700,145,3,
2025-09-15,otoki,7,14409,78,17,
2025-09-15,ottogi,4,15784,1087,10,
2025-09-15,pepero,46,199927,14918,355,
2025-09-15,pulmuone,1,1807,18,1,
2025-09-15,red baron,61,24952,800,92,
2025-09-15,samlip,2,3107,210,3,
2025-09-15,samyang,396,1883668,90842,1732,
2025-09-15,sempio,21,144706,9468,2884,
2025-09-15,shin ramen,97,1233612,34691,705,
2025-09-15,starkist,1,343,0,0,
2025-09-15,terra beer,1,1258,9,1,
2025-09-15,toomba,25,551480,27898,528,
2025-09-15,turtle chips,5,3198,14,2,
