video_id,as_of_date_utc,viewCount,likeCount,commentCount
2W2oZa7SeIw,2025-09-09,2221,0,1
FkHZxn_u2Gs,2025-09-09,4713,40,2
OBxHU_kTU5c,2025-09-09,71,5,0
m4BT_uNuhEc,2025-09-09,978,4,0
vpJ5ZYH3GmU,2025-09-09,0,0,0
VXTnT7bGtmI,2025-09-09,43,2,0
T7HUui2kzUk,2025-09-09,2486,15,0
peI21yqLTuY,2025-09-09,1458,10,0
9Ca-q6mKmp8,2025-09-09,366385,1312,2
u_xG2pxla6k,2025-09-09,918,11,0
Qg2UnqPm0ws,2025-09-09,13222,70,0
y_w4-7EIY4A,2025-09-09,72,1,0
RqZfQynwTXQ,2025-09-09,759,10,0
S788TD8-p_A,2025-09-09,2886,52,0
KLXrlmwKawU,2025-09-09,3777,42,4
9af_zH1inuQ,2025-09-09,4205,63,0
EKVw7v97PBQ,2025-09-09,450954,0,5
5FxVKigv8Uk,2025-09-09,707,15,3
j2bVKMyF78g,2025-09-09,379,29,1
EA37a5D1rmQ,2025-09-09,1835,13,0
LCoVUChoWqA,2025-09-09,612,6,1
A8LHn5jqUsY,2025-09-09,4277,23,0
nyd7Gh1tBII,2025-09-09,8339,94,0
1OMai-oKgP0,2025-09-09,42,2,0
WTp6SrVJi6I,2025-09-09,58,2,0
-TyJnLhnW0s,2025-09-09,8,3,2
LYExCxx6rHg,2025-09-09,776,25,0
FzZutBtvicU,2025-09-09,0,0,0
S4QT0a9stnE,2025-09-09,29,6,0
qOHqvjQmrOY,2025-09-09,60,3,0
8z8QU_ffFt8,2025-09-09,370,3,0
Tj9AkkYwF3E,2025-09-09,628,10,1
VVyq_ugZW9g,2025-09-09,3,0,1
O59HCpLAL5Q,2025-09-09,1613,20,0
hFhC2MBUAPQ,2025-09-09,11,0,0
HucpwDnomdw,2025-09-09,1681,5,0
jz7-uiY3h3c,2025-09-09,18994,90,2
YR-bDifUrLo,2025-09-09,1677,9,0
lKaP3k3l-mU,2025-09-09,7,0,0
oB8yfIkFMB8,2025-09-09,3046,10,0
YCUGaKSgSkQ,2025-09-09,450,3,0
FC3JFzbz594,2025-09-09,1927,156,11
riSxTCtuApU,2025-09-09,1185,5,1
jwcJzivPBZc,2025-09-09,918,13,2
rEkpV8jKUTA,2025-09-09,625,4,3
fPGCrniv6RE,2025-09-09,150,4,0
L4320p1JeFg,2025-09-09,883,0,8
dxQr0Luo8gM,2025-09-09,1235,14,2
N93Ril-pIz4,2025-09-09,1348,26,0
i_R0XEGqN8A,2025-09-09,2,0,0
yStiZpG2qec,2025-09-09,10120,72,2
nuGKqhTG-mw,2025-09-09,13426,63,1
15i7ba6AxNs,2025-09-09,1050,10,0
HqMi7LpTems,2025-09-09,2175,12,2
Kk_PSDP75KM,2025-09-09,2,0,0
jGpPy-IplMc,2025-09-09,23,2,0
SOTLiFl2RaI,2025-09-09,25,4,0
SdznpRoxno0,2025-09-09,1623,34,2
oGzGDl5um8A,2025-09-09,7,2,0
32M5jnqgQFI,2025-09-09,14,0,0
jnlLB6t7RX0,2025-09-09,116940,1450,6
6rTkOVhq7rE,2025-09-09,10334,140,8
NhC5NaDhhM0,2025-09-09,26189,650,1
7YHpLLGsFBE,2025-09-09,1729,20,1
z2EjJU0nrIw,2025-09-09,19,0,0
ozkqDzA7GOo,2025-09-09,902,18,0
qB-EI8GnU2E,2025-09-09,10685,0,7
qda03P7qfks,2025-09-09,20788,169,0
YTkMKP2XWHs,2025-09-09,4153,56,7
0JkRBohaoGU,2025-09-09,978,3,0
F59eXM7myRQ,2025-09-09,20415,1175,31
40kzjG55Ono,2025-09-09,0,0,0
8Lnlp7J9VKM,2025-09-09,42,4,0
QcvFrrQ-gBc,2025-09-09,443,4,0
lJ45vsrwDhQ,2025-09-09,332,2,0
F_8qJn7qgvc,2025-09-09,1492,29,2
EwP50C00qQI,2025-09-09,10,2,1
lvUhMwn7hCk,2025-09-09,1416,116,0
CphGjzs_gKg,2025-09-09,12,0,0
mY7a6ZVBjLk,2025-09-09,2786,20,0
rNkpcY-mDrM,2025-09-09,104,1,0
Xd-nCZ7DSwM,2025-09-09,1371,7,0
492EqQYET98,2025-09-09,55562,2426,6
mAvb-OQnbYg,2025-09-09,1052,7,0
8D6LguFpqyM,2025-09-09,2470,45,1
T9Nyz95L5to,2025-09-09,140,34,12
UUeoS4WXofU,2025-09-09,1187,12,2
AwF4xfzFO9I,2025-09-09,1741,25,0
rXKBk3q_T2c,2025-09-09,2248,35,1
8As2PGMqcXY,2025-09-09,42,1,0
noMnpKmPi5Y,2025-09-09,3158,31,2
_Fq0HetO1_E,2025-09-09,785,24,0
t2Iyms4JSuY,2025-09-09,18,1,0
ot5TqOvPsiM,2025-09-09,1395,17,0
pACZUg9yQjk,2025-09-09,0,0,0
xhzrC9h7F48,2025-09-09,1789,77,0
Vk7t89nP470,2025-09-09,157687,3261,17
gbV3POyUNuQ,2025-09-09,4,0,0
-WmrpOAAelI,2025-09-09,275,2,0
BjybzQQaa-c,2025-09-09,348,4,2
4mopQxnUOOk,2025-09-09,763,2,0
4iogF4rdjUk,2025-09-09,23,2,0
0q-tH_zlJro,2025-09-09,1454,8,0
O1enwZf8ks0,2025-09-09,0,0,0
pJDsvKIyGKQ,2025-09-09,1136,12,0
rIZF6hyAnkk,2025-09-09,160,8,0
ZYqSHXCZaJM,2025-09-09,3047,20,1
0aZokI6FStc,2025-09-09,11,3,0
c_JNnhAfeKw,2025-09-09,1083,13,0
hqdxBRn-t-E,2025-09-09,5,0,0
n9Ob0lwIIOM,2025-09-09,925,6,0
cibwEqWOA48,2025-09-09,1134,9,0
50h576o3_zE,2025-09-09,2,0,0
IOfuaOh7wKc,2025-09-09,6,0,0
lfu1TvNAU1U,2025-09-09,9,1,0
sq1W6g1i_Zc,2025-09-09,1436,32,0
hsIVuZtE0XU,2025-09-09,1352,4,0
sY4qiHJ8wvQ,2025-09-09,2733,19,4
XeIRbOdofdk,2025-09-09,105,6,1
R0XAIiKtOIY,2025-09-09,33,1,1
gRbO4Zq59ok,2025-09-09,712,5,0
Y5f2mS5gHbU,2025-09-09,0,0,0
DfevIvTSOdk,2025-09-09,343,5,0
nrYj3ZGGtns,2025-09-09,19,1,0
2dtZ881tiSI,2025-09-09,863,5,0
IDXlBoomQ6k,2025-09-09,3,1,0
pSTL9CIYr_Y,2025-09-09,641,6,0
REBBars351U,2025-09-09,1014,5,0
354_wuwUmDQ,2025-09-09,2,0,0
c6CDhaPBg_U,2025-09-09,1377,10,0
GrV9_aMoNYY,2025-09-09,18331,588,6
7sEgwn1vjus,2025-09-09,0,0,0
2K6Qwv0T9mw,2025-09-09,1371,20,93
58YMnkfwhZU,2025-09-09,1467,15,8
t4ORuG467Ns,2025-09-09,25,3,1
VNnQClQieaA,2025-09-09,152,23,17
gMwqdL8JU74,2025-09-09,15,0,0
5w52wlZFr2M,2025-09-09,2198,33,0
ZGWnohVVscA,2025-09-09,1,0,0
8MwzazKgZdg,2025-09-09,955,13,0
OV01dhmLF_A,2025-09-09,325,3,0
FgaJlLfIw28,2025-09-09,1,0,0
1BgbCgIEmz4,2025-09-09,0,0,0
S2B4OeL6m7E,2025-09-09,10013,70,6
K2yQ47tQZNI,2025-09-09,960,6,0
Vz1jmgbnk_o,2025-09-09,45,11,6
munuwtMsQQs,2025-09-09,1801,17,0
V_rAADccwjI,2025-09-09,282,5,5
S_w3sCq4zuQ,2025-09-09,44487,15338,178
CWSz9uZRrnE,2025-09-09,0,0,0
5C-OeyMUk0k,2025-09-09,29,1,0
0vWasyoY2s0,2025-09-09,60,4,0
nZcbbhnBAfc,2025-09-09,1064,12,3
NMYxUjbdQYk,2025-09-09,1588,6,7
OnPtVx_kOoA,2025-09-09,1481,27,0
zbjjZ0SB8lw,2025-09-09,121427,1893,11
ZpGfTfE9sGw,2025-09-09,3967,49,2
AJGtFEZCEjE,2025-09-09,12,0,4
r_v0FIjVX-Y,2025-09-09,1472,26,0
dxHimONrNqw,2025-09-09,12,1,1
koZCeQlzGNA,2025-09-09,653,12,0
N5UTOyYaepw,2025-09-09,2,0,0
_dq24H0OvoM,2025-09-09,35516,396,1
7kH1WzdBcPA,2025-09-09,22858,1146,18
4leV_oIPOLw,2025-09-09,130,0,0
wuXfGTrXMro,2025-09-09,88,1,0
YY8ldTf4QCM,2025-09-09,19755,79,9
-7kvUpEtwh0,2025-09-09,1586,23,1
KM41ctI46dg,2025-09-09,2,0,0
pG1LOMFFnF8,2025-09-09,305,1,0
UEk5EZeDvnY,2025-09-09,16558,451,2
wIsa-IhIZu8,2025-09-09,2854,41,0
Y1Zu5fMohHA,2025-09-09,29,72,8
2UnyJUqFBjE,2025-09-09,1,0,0
H4P9HgeOJmY,2025-09-09,0,0,0
glsNbXvefEw,2025-09-09,0,0,0
W0EOvAeY-7Y,2025-09-09,3,1,0
o5ZB1xXKRNw,2025-09-09,848,11,0
X0sSdLYYhDw,2025-09-09,116,8,0
SLppDyyInq8,2025-09-09,1010,44,4
O1zMjNTuBrk,2025-09-09,5,1,0
3jzCoIuPGtQ,2025-09-09,13827,420,2
piD3dRT9uW0,2025-09-09,3,1,0
FsqvnusUHSM,2025-09-09,1656,5,1
NNZzOFfXw2Y,2025-09-09,6,0,0
Xc8JKoNBU2g,2025-09-09,0,0,0
wruK79j2Qwk,2025-09-09,78,5,4
dWvRrT7jIc0,2025-09-09,845,15,0
DE_Qdw2Igsg,2025-09-09,23086,3226,10
dWiMnXFY_lg,2025-09-09,1566,57,1
h9k5kjsIC6Y,2025-09-09,8536,66,0
5_dPXrzldSk,2025-09-09,464,9,3
ayCfHTTCWRM,2025-09-09,3314,44,3
a1h_8vsebqo,2025-09-09,1881,19,0
loIeQgmU0io,2025-09-09,76,0,38
2FXq-Ig7lOs,2025-09-09,1670,14,0
