video_id,as_of_date_utc,viewCount,likeCount,commentCount
7nQMu-Q_fdI,2025-09-11,0,0,0
a4iUp4j77J8,2025-09-11,133,0,0
Sr8sU8osWLg,2025-09-11,1203,13,0
siIQqrIPZMA,2025-09-11,1077,2,0
v7YzrJcZl6s,2025-09-11,43,0,0
m92t_YbknNs,2025-09-11,938,12,0
GRB1y6Hf2bk,2025-09-11,360,0,4
6D8wZsejS7o,2025-09-11,200,1,0
F6SxAR7WYqo,2025-09-11,1165,3,0
EWDgFHisj1M,2025-09-11,0,0,0
puJ5bKDlqb4,2025-09-11,256,1,0
vFTm9cT1Aho,2025-09-11,293,7,0
wPSdARyz3Ic,2025-09-11,1266,15,0
OjGO-32fRdI,2025-09-11,1170,7,0
0rLUkkbaLWU,2025-09-11,1244,8,0
i1EiLCptgog,2025-09-11,2088,3,0
3LsgY7TA_Xc,2025-09-11,62,0,0
70EsyiXIE3k,2025-09-11,6,1,0
tenlpJTWw8Y,2025-09-11,67,0,0
GFOM2mc4NQE,2025-09-11,78,1,0
6zprVUBPqbU,2025-09-11,0,0,0
7L2q5Q6i5Tc,2025-09-11,849,7,1
JOkFAXmLW9g,2025-09-11,222,1,0
XUxpXJMqsW4,2025-09-11,117,2,0
TWXpMub9AyA,2025-09-11,318,6,1
nFXM4K6z9XY,2025-09-11,89,2,0
xS7w_xauC8A,2025-09-11,315,39,1
4jp4IXv_HY4,2025-09-11,355,42,1
VolU6qqTssM,2025-09-11,53,2,1
P0BRvppl-q0,2025-09-11,436,48,3
AtIEuc2_2EA,2025-09-11,1206,5,0
_e4QSCaRv00,2025-09-11,12,0,0
SoZn_lvSRSQ,2025-09-11,489,61,4
Sos9kyJgsQU,2025-09-11,559,72,5
uiSSt5OlY-I,2025-09-11,54,2,1
L_I-lDFK7Rg,2025-09-11,235,10,1
Sx4HqnX-GIg,2025-09-11,7174,9,0
mFlxwWbCTjQ,2025-09-11,595,6,0
MUdv1hnCT1k,2025-09-11,360,2,0
FBOvTkUeAFk,2025-09-11,170,11,0
IwQ1m6yBEiE,2025-09-11,904,49,3
gsk2vwuuSSw,2025-09-11,564,28,3
G76T1Tr_y8E,2025-09-11,703,106,11
EhizEj7cAvc,2025-09-11,319,19,0
mckGELwduNg,2025-09-11,7730,330,2
GFcDl_eRgFs,2025-09-11,464,2,0
ZIdbCFR8j98,2025-09-11,223,1,1
eGEw23q3I1Q,2025-09-11,1434,12,1
NuIyJ71iubc,2025-09-11,467,24,1
nruUYDgFlOw,2025-09-11,28,4,2
MQDSOx0-yCo,2025-09-11,1158,24,0
spPICS_u6zs,2025-09-11,198,2,0
350AcsOujoA,2025-09-11,464,12,0
Cs9KFK3kW5k,2025-09-11,1376,30,0
